book,total_verses,mapped_verse_keys,coverage_percent,entries,sections
Genesis,1533,880,57.4,902,579
Exodus,1213,748,61.7,769,402
Leviticus,859,624,72.6,641,253
Numbers,1288,980,76.1,1053,408
Deuteronomy,959,732,76.3,803,322
Joshua,658,528,80.2,605,233
Judges,618,473,76.5,510,263
Ruth,85,48,56.5,51,40
1 Samuel,810,559,69.0,586,325
2 Samuel,695,459,66.0,484,240
1 Kings,816,555,68.0,586,268
2 Kings,719,477,66.3,520,285
1 Chronicles,942,450,47.8,497,300
2 Chronicles,822,497,60.5,543,293
Ezra,280,145,51.8,152,84
Nehemiah,406,209,51.5,221,102
Esther,167,90,53.9,92,63
Job,1070,1007,94.1,1147,996
Psalms,2461,2303,93.6,2687,1711
Proverbs,915,907,99.1,1052,812
Ecclesiastes,222,218,98.2,230,214
Song of Solomon,117,116,99.1,117,115
Isaiah,1292,1271,98.4,1352,1266
Jeremiah,1364,1240,90.9,1304,1219
Lamentations,154,153,99.4,199,153
Ezekiel,1273,1041,81.8,1105,982
Daniel,357,323,90.5,323,317
Hosea,197,196,99.5,198,195
Joel,73,73,100.0,78,72
Amos,146,142,97.3,150,141
Obadiah,21,21,100.0,21,21
Jonah,48,47,97.9,48,47
Micah,105,104,99.0,105,103
Nahum,47,47,100.0,49,47
Habakkuk,56,56,100.0,57,56
Zephaniah,53,53,100.0,55,53
Haggai,38,35,92.1,35,35
Zechariah,211,203,96.2,214,203
Malachi,55,55,100.0,76,56
Matthew,1071,602,56.2,614,588
Mark,678,357,52.7,359,352
Luke,1151,819,71.2,999,620
John,879,846,96.2,1247,702
Acts,1007,988,98.1,1403,807
Romans,433,427,98.6,553,402
1 Corinthians,437,432,98.9,446,432
2 Corinthians,257,253,98.4,263,255
Galatians,149,149,100.0,165,150
Ephesians,155,155,100.0,155,154
Philippians,104,103,99.0,103,102
Colossians,95,95,100.0,95,95
1 Thessalonians,89,89,100.0,91,89
2 Thessalonians,47,47,100.0,48,47
1 Timothy,113,112,99.1,115,112
2 Timothy,83,83,100.0,83,83
Titus,46,46,100.0,46,46
Philemon,25,23,92.0,23,23
Hebrews,303,300,99.0,314,302
James,108,108,100.0,112,109
1 Peter,105,104,99.0,104,104
2 Peter,61,61,100.0,61,61
1 John,105,105,100.0,111,106
2 John,13,13,100.0,13,13
3 John,15,14,93.3,14,14
Jude,25,25,100.0,27,25
Revelation,404,399,98.8,402,395
