book,mapped_keys,possible_verses,coverage_pct,reference_count
Genesis,567,1533,37.0,12009
Exodus,492,1213,40.6,9250
Leviticus,278,859,32.4,6607
Numbers,407,1288,31.6,7258
Deuteronomy,390,959,40.7,8956
Joshua,285,658,43.3,4586
Judges,251,618,40.6,3962
Ruth,21,85,24.7,546
1 Samuel,419,810,51.7,5912
2 Samuel,393,695,56.5,5139
1 Kings,369,816,45.2,7040
2 Kings,341,719,47.4,6127
1 Chronicles,462,942,49.0,4845
2 Chronicles,393,822,47.8,7265
Ezra,106,280,37.9,1976
Nehemiah,138,406,34.0,2948
Esther,96,167,57.5,1156
Job,469,1070,43.8,8180
Psalms,799,2461,32.5,22603
Proverbs,403,915,44.0,8451
Ecclesiastes,116,222,52.3,2572
Song of Solomon,55,117,47.0,1716
Isaiah,587,1292,45.4,17083
Jeremiah,540,1364,39.6,17267
Lamentations,39,154,25.3,1938
Ezekiel,644,1273,50.6,12549
Daniel,107,357,30.0,4405
Hosea,88,197,44.7,2906
Joel,35,73,47.9,850
Amos,62,146,42.5,1751
Obadiah,19,21,90.5,394
Jonah,16,48,33.3,360
Micah,38,105,36.2,1637
Nahum,27,47,57.4,794
Habakkuk,15,56,26.8,511
Zephaniah,27,53,50.9,1084
Haggai,11,38,28.9,309
Zechariah,131,211,62.1,2921
Malachi,30,55,54.5,1090
Matthew,351,1071,32.8,12485
Mark,276,678,40.7,6141
Luke,530,1151,46.0,12054
John,302,879,34.4,10078
Acts,417,1007,41.4,11718
Romans,128,433,29.6,5749
1 Corinthians,192,437,43.9,4551
2 Corinthians,95,257,37.0,3831
Galatians,64,149,43.0,1891
Ephesians,60,155,38.7,2330
Philippians,45,104,43.3,1379
Colossians,38,95,40.0,1333
1 Thessalonians,20,89,22.5,1152
2 Thessalonians,11,47,23.4,697
1 Timothy,49,113,43.4,1681
2 Timothy,17,83,20.5,1089
Titus,14,46,30.4,378
Philemon,23,25,92.0,283
Hebrews,107,303,35.3,3978
James,24,108,22.2,1559
1 Peter,43,105,41.0,1739
2 Peter,19,61,31.1,965
1 John,28,105,26.7,1330
2 John,11,13,84.6,455
3 John,12,15,80.0,349
Jude,15,25,60.0,350
Revelation,224,404,55.4,6302
